"","prop.c","site","trmnt","ID","frt","avg_frt","fecund","avg_fecund","trtflw","avg_trtflw","seeds","avg_seed","polov","avg_polov","totov","avg_totov"
"1",21.28,"braaten","hp",3,9,3,71,71,12,12,91,9.16666666666667,92,9.23333333333333,115,12.1666666666667
"2",21.28,"braaten","hp",10,6,3,61,61,11,11,42,7.8,46,8.2,55,9.9
"3",21.28,"braaten","hp",11,9,4.5,65,65,10,10,70,8.92857142857143,71,9,90,10.8928571428571
"4",21.28,"braaten","hp",19,2,1,16,16,2,2,15,7.5,15,7.5,16,8
"5",21.28,"braaten","hp",20,1,1,21,21,3,3,10,10,10,10,10,10
"6",21.28,"braaten","hp",241,3,3,9,9,3,3,27,9,27,9,37,12.3333333333333
"7",21.28,"braaten","hp",243,6,2,43,43,12,12,41,6.83333333333333,41,6.83333333333333,51,8.5
"8",21.28,"braaten","op",1,5,1.66666666666667,58,58,6,6,54,11,54,11,59,11.8333333333333
"9",21.28,"braaten","op",5,3,3,9,9,4,4,26,8.66666666666667,26,8.66666666666667,27,9
"10",21.28,"braaten","op",7,11,3.66666666666667,69,69,12,12,135,12.1746031746032,135,12.1746031746032,146,13.3015873015873
"11",21.28,"braaten","op",8,6,3,56,56,10,10,59,10.7,59,10.7,65,11.7
"12",21.28,"braaten","op",14,2,2,22,22,3,3,21,10.5,22,11,23,11.5
"13",21.28,"braaten","op",15,1,1,5,5,3,3,9,9,9,9,10,10
"14",21.28,"braaten","op",242,2,2,17,17,2,2,21,10.5,21,10.5,23,11.5
"15",29.27,"nelson","hp",91,1,1,18,18,3,3,11,11,11,11,11,11
"16",29.27,"nelson","hp",93,2,1,59,59,4,4,19,9.5,20,10,21,10.5
"17",29.27,"nelson","hp",95,3,3,20,20,3,3,28,9.33333333333333,29,9.66666666666667,35,11.6666666666667
"18",29.27,"nelson","hp",96,6,2,47,47,6,6,71,11.1666666666667,71,11.1666666666667,72,11.2777777777778
"19",29.27,"nelson","hp",97,4,4,9,9,4,4,26,6.5,26,6.5,42,10.5
"20",29.27,"nelson","hp",101,9,4.5,58,58,11,11,74,7.78571428571429,75,7.85714285714286,89,9.39285714285714
"21",29.27,"nelson","hp",103,3,1.5,22,22,4,4,28,9.5,28,9.5,32,10.5
"22",29.27,"nelson","hp",114,19,9.5,53,53,19,19,158,8.24444444444444,159,8.29444444444444,183,9.6
"23",29.27,"nelson","op",92,1,1,31,31,1,1,11,11,11,11,13,13
"24",29.27,"nelson","op",98,4,4,8,8,4,4,19,4.75,19,4.75,40,10
"25",29.27,"nelson","op",99,1,1,14,14,2,2,10,10,10,10,12,12
"26",29.27,"nelson","op",100,5,2.5,38,38,7,7,44,8.5,53,9.625,55,10.25
"27",29.27,"nelson","op",104,1,1,25,25,1,1,12,12,12,12,13,13
"28",29.27,"nelson","op",120,9,4.5,37,37,10,10,71,8.58333333333333,75,8.91666666666667,85,9.75
"29",44.6,"rudningen","hp",122,5,2.5,32,32,5,5,66,12.75,66,12.75,67,13
"30",44.6,"rudningen","hp",124,2,2,19,19,3,3,20,10,21,10.5,21,10.5
"31",44.6,"rudningen","hp",126,3,1.5,44,44,6,6,15,5,16,5.25,25,7.75
"32",44.6,"rudningen","hp",127,5,2.5,46,46,5,5,41,8.5,42,8.66666666666667,48,9.83333333333333
"33",44.6,"rudningen","hp",131,3,3,14,14,4,4,18,6,22,7.33333333333333,22,7.33333333333333
"34",44.6,"rudningen","hp",133,11,3.66666666666667,80,80,12,12,127,10.3888888888889,127,10.3888888888889,134,11.1666666666667
"35",44.6,"rudningen","hp",147,1,1,34,34,3,3,9,9,9,9,9,9
"36",44.6,"rudningen","hp",246,9,4.5,29,29,9,9,100,9.64285714285714,103,9.85714285714286,120,12.5
"37",44.6,"rudningen","op",123,5,2.5,16,16,5,5,44,8.25,44,8.25,56,11.1666666666667
"38",44.6,"rudningen","op",128,4,2,11,11,5,5,33,8.25,35,8.75,40,10
"39",44.6,"rudningen","op",129,4,2,22,22,4,4,45,11.25,45,11.25,48,12
"40",44.6,"rudningen","op",130,5,2.5,24,24,6,6,64,11.375,64,11.375,66,12
"41",44.6,"rudningen","op",132,6,3,16,16,6,6,56,8.625,60,9.625,63,10.125
"42",44.6,"rudningen","op",135,2,2,14,14,2,2,18,9,18,9,26,13
"43",68.7,"howe","hp",63,12,12,28,28,12,12,96,8,96,8,106,8.83333333333333
"44",68.7,"howe","hp",69,6,3,32,32,10,10,48,8,48,8,69,11.5
"45",68.7,"howe","hp",71,8,2.66666666666667,22,22,8,8,66,6.72222222222222,71,7,87,9.83333333333333
"46",68.7,"howe","hp",74,5,1.66666666666667,32,32,8,8,44,7.5,45,7.66666666666667,64,12.5
"47",68.7,"howe","hp",75,3,3,10,10,4,4,23,7.66666666666667,23,7.66666666666667,30,10
"48",68.7,"howe","hp",78,5,2.5,25,25,5,5,31,7.25,33,7.5,52,10.625
"49",68.7,"howe","hp",83,4,2,18,18,4,4,35,7.16666666666667,36,7.66666666666667,48,11.3333333333333
"50",68.7,"howe","hp",88,5,2.5,26,26,7,7,27,8.25,27,8.25,54,11.625
"51",68.7,"howe","op",61,4,2,31,31,4,4,50,12.3333333333333,51,12.5,54,13.3333333333333
"52",68.7,"howe","op",62,1,1,35,35,1,1,6,6,13,13,13,13
"53",68.7,"howe","op",64,4,4,18,18,4,4,30,7.5,30,7.5,42,10.5
"54",68.7,"howe","op",65,5,2.5,22,22,5,5,50,10.75,54,11.25,65,12.625
"55",68.7,"howe","op",66,4,2,17,17,4,4,32,5.66666666666667,32,5.66666666666667,44,10.3333333333333
"56",68.7,"howe","op",68,3,3,8,8,6,6,39,13,39,13,41,13.6666666666667
"57",68.7,"howe","op",89,4,2,16,16,4,4,28,8.33333333333333,28,8.33333333333333,38,10
"58",73.98,"woltjer","hp",213,12,6,60,60,12,12,124,10.3333333333333,129,10.75,144,12
"59",73.98,"woltjer","hp",215,11,2.75,56,56,14,14,90,7.45833333333333,92,7.58333333333333,136,12.7916666666667
"60",73.98,"woltjer","hp",216,12,4,23,23,14,14,103,8.26190476190476,103,8.26190476190476,127,10.0119047619048
"61",73.98,"woltjer","hp",217,1,1,8,8,1,1,12,12,12,12,12,12
"62",73.98,"woltjer","hp",218,1,1,1,1,1,1,9,9,10,10,10,10
"63",73.98,"woltjer","hp",220,4,1.33333333333333,18,18,5,5,33,8.33333333333333,33,8.33333333333333,56,14
"64",73.98,"woltjer","hp",226,8,4,40,40,21,21,57,5.35714285714286,57,5.35714285714286,79,9.07142857142857
"65",73.98,"woltjer","hp",239,4,2,18,18,4,4,37,8.83333333333333,37,8.83333333333333,44,10.6666666666667
"66",73.98,"woltjer","op",211,4,1.33333333333333,24,24,4,4,41,9.66666666666667,44,10.6666666666667,49,12.3333333333333
"67",73.98,"woltjer","op",212,2,1,31,31,2,2,14,7,14,7,15,7.5
"68",73.98,"woltjer","op",219,1,1,3,3,1,1,6,6,10,10,10,10
"69",73.98,"woltjer","op",222,5,2.5,25,25,6,6,38,8,38,8,59,11.8333333333333
"70",73.98,"woltjer","op",223,5,2.5,17,17,9,9,34,7.25,34,7.25,44,9.08333333333333
"71",73.98,"woltjer","op",224,10,5,35,35,15,15,92,8.79166666666667,99,9.375,114,11.2083333333333
"72",73.98,"woltjer","op",232,7,3.5,42,42,16,16,51,5.7,53,5.9,83,11.75
"73",75,"staples","hp",182,3,1,31,31,11,11,17,5.66666666666667,17,5.66666666666667,35,11.6666666666667
"74",75,"staples","hp",184,1,1,15,15,1,1,8,8,8,8,11,11
"75",75,"staples","hp",189,5,1.66666666666667,54,54,11,11,30,5.33333333333333,30,5.33333333333333,60,12
"76",75,"staples","hp",195,5,5,3,3,7,7,42,8.4,42,8.4,59,11.8
"77",75,"staples","hp",196,6,3,53,53,6,6,30,4.125,30,4.125,54,8.375
"78",75,"staples","hp",203,8,4,26,26,9,9,73,7.75,74,8,82,9.83333333333333
"79",75,"staples","hp",205,3,1.5,24,24,3,3,10,4,10,4,28,9.5
"80",75,"staples","op",181,2,1,14,14,6,6,2,1,2,1,20,10
"81",75,"staples","op",187,3,3,16,16,5,5,31,10.3333333333333,31,10.3333333333333,33,11
"82",75,"staples","op",191,6,1.5,52,52,14,14,44,7.25,45,7.375,66,10.625
"83",75,"staples","op",193,4,2,39,39,7,7,32,8,33,8.25,49,12.25
"84",75,"staples","op",198,8,8,20,20,10,10,76,9.5,77,9.625,83,10.375
"85",81.81,"silis","hp",153,5,1.66666666666667,88,88,8,8,45,7.88888888888889,46,8.22222222222222,54,10.6666666666667
"86",81.81,"silis","hp",156,11,2.75,60,60,12,12,122,11.3125,122,11.3125,147,12.9375
"87",81.81,"silis","hp",157,2,2,19,19,4,4,26,13,26,13,27,13.5
"88",81.81,"silis","hp",159,11,2.75,72,72,12,12,89,7.90833333333333,89,7.90833333333333,115,10.4166666666667
"89",81.81,"silis","hp",160,2,1,32,32,2,2,20,10,20,10,22,11
"90",81.81,"silis","hp",161,4,4,9,9,4,4,19,4.75,23,5.75,41,10.25
"91",81.81,"silis","hp",170,3,1.5,73,73,11,11,27,8,27,8,35,11.75
"92",81.81,"silis","hp",171,2,2,11,11,3,3,15,7.5,16,8,18,9
"93",81.81,"silis","op",154,13,4.33333333333333,60,60,14,14,73,6.3,73,6.3,124,9.8
"94",81.81,"silis","op",155,10,2.5,64,64,11,11,97,10.0833333333333,104,10.6458333333333,116,11.5625
"95",81.81,"silis","op",158,4,1.33333333333333,122,122,4,4,36,8.83333333333333,37,9.16666666666667,40,9.83333333333333
"96",81.81,"silis","op",164,4,2,58,58,6,6,46,11.3333333333333,46,11.3333333333333,53,13.5
"97",81.81,"silis","op",165,1,1,5,5,2,2,3,3,4,4,9,9
"98",81.81,"silis","op",168,2,2,4,4,2,2,16,8,20,10,20,10
"99",81.81,"silis","op",173,3,1.5,20,20,4,4,33,10.5,34,11,37,12
"100",84,"grohn","hp",32,4,2,30,30,4,4,38,9.33333333333333,38,9.33333333333333,43,10.1666666666667
"101",84,"grohn","hp",35,7,2.33333333333333,105,105,11,11,41,6.58333333333333,41,6.58333333333333,63,9.58333333333333
"102",84,"grohn","hp",37,2,2,22,22,2,2,21,10.5,21,10.5,21,10.5
"103",84,"grohn","hp",41,2,2,41,41,5,5,28,14,28,14,31,15.5
"104",84,"grohn","hp",44,5,2.5,35,35,6,6,46,9.33333333333333,46,9.33333333333333,60,11.8333333333333
"105",84,"grohn","hp",48,1,1,9,9,1,1,10,10,10,10,11,11
"106",84,"grohn","hp",54,2,2,1,1,2,2,25,12.5,25,12.5,27,13.5
"107",84,"grohn","hp",59,4,4,1,1,4,4,35,8.75,35,8.75,49,12.25
"108",84,"grohn","op",31,4,2,92,92,6,6,29,6.83333333333333,29,6.83333333333333,56,13.6666666666667
"109",84,"grohn","op",34,7,3.5,51,51,7,7,76,10.0833333333333,76,10.0833333333333,80,10.8333333333333
"110",84,"grohn","op",39,6,2,50,50,7,7,37,6.33333333333333,37,6.33333333333333,72,12.25
"111",84,"grohn","op",43,1,1,12,12,1,1,12,12,12,12,12,12
"112",84,"grohn","op",46,1,1,3,3,1,1,12,12,12,12,12,12
"113",84,"grohn","op",57,2,2,2,2,3,3,4,2,4,2,19,9.5
